Ciudad,anio,NCB,ASB,VSP,SP,NHB,ACB,AIC,SB,SA,FB,DP,LPE,TI,AES,Op,IPS
Barranquilla,2014,63.0815313972,89.2724859335,48.9775695144,62.3808133357,65.9281000452,68.5847131998,64.5116559803,56.3804905606,48.1998400338,59.4191749436,70.3056219147,64.569000027,44.6151214306,39.9287727256,54.8546290245,60.0673013378
Bogotá,2014,82.643720907,85.1064329,75.0130805674,68.3239896215,77.771805999,89.4688355276,88.6403195313,79.2619705718,70.3836738946,81.9386998813,35.4823857898,63.8751742766,34.1079931193,71.6157712843,51.2703311175,70.3269456659
Bucaramanga,2014,77.2536186981,87.638463792,77.9308066799,61.4426588751,76.0663870113,84.032164776,94.7859831386,45.3586495348,68.8723316833,73.2622822832,59.1106952491,53.19703142,79.7733793114,85.9981578689,69.5198159624,72.9494950856
Cali,2014,75.9708993719,75.2764269751,58.8132428209,24.5506148687,58.6527960091,76.783841905,71.215429813,57.4893189986,72.9975568372,69.6215368884,25.0631053177,58.969718702,20.3155888488,33.8020407926,34.5376134153,54.2706487709
Cartagena,2014,72.3826237445,84.0405918429,28.3016431262,50.696309034,58.8552919369,66.5551493316,65.8320707598,75.4806029774,43.8716142033,62.934859318,38.2180717256,50.3585345034,28.0292977053,39.5008932695,39.026699301,53.605616852
Ibagué,2014,69.7439612924,74.5593371119,73.4513068814,62.7691559679,70.1309403134,82.9470623086,79.2605993654,49.5609964447,65.1135842584,69.2205605943,68.0336096005,38.5258120171,35.7881397938,39.960281286,45.5769606743,61.6428205273
Manizales,2014,79.0332484044,99.3908797096,95.6508263679,52.4244628502,81.624854333,63.383976383,87.4505648586,47.0807653629,77.2415736641,68.7892200671,70.8491382542,75.5197094718,90.156225946,68.0292416227,76.1385788237,75.5175510746
Medellín,2014,79.4327357785,94.305710345,78.3123906131,53.4803075462,76.3827860707,82.5929714326,83.7068219562,51.951053786,64.4266339332,70.669370277,63.5781507709,74.2203380282,79.7009223613,65.2791552987,70.6946416148,72.5822659875
Pereira,2014,78.7925219341,95.0991055126,83.6747521975,37.5873169836,73.788424157,73.3587024226,79.5844757214,32.3037862854,78.5562894503,65.9508134699,70.3641176364,53.5816206152,66.0434142548,50.6601239044,60.1623191027,66.6338522432
Valledupar,2014,65.9086842193,86.6375893995,23.174423145,39.9217079728,53.9106011841,52.054086442,53.0191185299,64.479875085,66.1398434702,58.9232308818,62.2575396907,36.3409457383,45.4213701685,30.6828381976,43.6756734488,52.1698351716
